method,model_size,seed,acc_mode,retained,data_label,label_class,elicited,loss,compute_ratio,source
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,False,0.9845218062400818,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,False,2.2036125659942627,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,False,2.7819020748138428,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,False,3.0381436347961426,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,heterogeneous,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,False,3.1197800636291504,1.0,accumulation/base/200M/seed_5/acc_mode_heterogeneous/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,False,1.180306315422058,0.40521343136386173,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,False,2.216226577758789,0.9537589549636974,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,False,2.8101983070373535,0.9186462943149901,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,False,3.08467173576355,0.86216947365071,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
baseline,200M,seed_5,uniform,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,False,3.160919189453125,0.873299280524738,accumulation/base/200M/seed_5/acc_mode_uniform/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,code-lisp,retain,False,0.9444129467010498,1.2321778289269472,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,core,core,False,2.205706834793091,0.9921499590121798,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,papers-biology,forget,False,2.8454346656799316,0.827604614570378,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,papers-cyber,forget,False,3.0698049068450928,0.90376204206768,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,code-lisp+core,papers-nuclear,forget,False,3.184152603149414,0.8096798922942715,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,code-lisp,forget,False,1.3546708822250366,0.20691396983336463,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,core,core,False,2.2048730850219727,0.9952667512156318,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,papers-biology,forget,False,2.8447282314300537,0.8293264477177433,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,papers-cyber,forget,False,3.0690629482269287,0.9058956292696092,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core,papers-nuclear,forget,False,3.18351674079895,0.811351022198159,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,code-lisp,forget,False,1.3541117906570435,0.20732500253893277,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,core,core,False,2.2054107189178467,0.9932556565857348,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,papers-biology,retain,False,2.7577710151672363,1.0758480440907614,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,papers-cyber,forget,False,3.06965708732605,0.9041866670153945,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-biology,papers-nuclear,forget,False,3.178884267807007,0.8236419359587716,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,code-lisp,forget,False,1.354888916015625,0.20675395467360141,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,core,core,False,2.2039997577667236,0.9985433884802536,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,papers-biology,forget,False,2.843989372253418,0.8311316525725572,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,papers-cyber,retain,False,3.0227980613708496,1.0507085420205613,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-cyber,papers-nuclear,forget,False,3.1806159019470215,0.8190235306382433,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
grmoe,200M,seed_5,heterogeneous,core+papers-nuclear,code-lisp,forget,False,1.3553344011306763,0.20642749820782474,accumulation/grmoe/200M/seed_5/acc_mode_heterogeneous_factor_1.0/stats.jsonl
