method,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
FT-LoRA,seed_1,core,code-lisp,elicited_forget,True,1.2495368719100952,0.8413131804280247,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-biology,code-lisp,elicited_forget,True,1.248910665512085,0.8430531941158301,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-nuclear,code-lisp,elicited_forget,True,1.2504382133483887,0.8388165235006056,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-cyber,code-lisp,elicited_forget,True,1.2504382133483887,0.8388165235006056,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core,code-lisp,forget,False,1.7873096466064453,0.19450960788188099,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-biology,code-lisp,forget,False,1.7943460941314697,0.19144475451231946,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-nuclear,code-lisp,forget,False,1.7894631624221802,0.1935650147237885,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-cyber,code-lisp,forget,False,1.7889623641967773,0.19378415713967376,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,code-lisp+core,code-lisp,retain,False,1.4523488283157349,0.4532323254859165,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core,core,core,False,2.4203503131866455,0.8703694681849393,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,code-lisp+core,core,core,False,2.438136577606201,0.8175449002319662,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-biology,core,core,False,2.426201581954956,0.8525794822556629,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-nuclear,core,core,False,2.42753267288208,0.8485897457242564,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core+papers-cyber,core,core,False,2.419585943222046,0.8727240730387837,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,core,papers-biology,elicited_forget,True,3.0520834922790527,0.9361381742796945,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-LoRA,seed_1,code-lisp+core,papers-biology,elicited_forget,True,3.0561397075653076,0.9256902624750171,arch/100M/seed_1/20260527043142471021/stats.jsonl
