method,model_size,num_params,seed,retained,data_label,label_class,loss,compute_ratio,source
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.7893299460411072,1.0731978974946605,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8022485375404358,1.0031246498424284,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,1.8626388311386108,1.0644395193228378,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.360584020614624,1.0020008872220036,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.393437623977661,0.8779306831463545,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.6359188556671143,1.0182001764495385,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.6640820503234863,0.9046588172424238,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7098770141601562,1.0316142429247863,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_1,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.727421760559082,0.9579068178813656,scaling/realistic/base/800M/seed_1/20260422084509038162/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8127580881118774,0.9502936960236451,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8364941477775574,0.8432051515182073,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,core,core,1.8922648429870605,0.904536664208152,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.3599703311920166,1.0044973419893177,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-biology,retain,2.3865625858306885,0.9024048460779853,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.645293951034546,0.9787516839142519,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-cyber,retain,2.671640634536743,0.8766110363714922,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7204055786132812,0.9866656065354453,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_2,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,papers-nuclear,retain,2.7361721992492676,0.9233211126345587,scaling/realistic/base/800M/seed_2/20260504072224060283/stats.jsonl
base,800M,806509504,seed_3,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8074544072151184,0.9765084064816948,scaling/realistic/base/800M/seed_3/20260504213914888636/stats.jsonl
base,800M,806509504,seed_3,code-lisp+core+papers-biology+papers-cyber+papers-nuclear,code-lisp,retain,0.8271947503089905,0.8832651119798852,scaling/realistic/base/800M/seed_3/20260504213914888636/stats.jsonl
