method,metric,direction,compute_ratio_mean,ci_90,ci_low,ci_high,std,sem,n_seeds
Filtering,Core,up,0.9916,0.0471,0.9446,1.0387,0.0279,0.0161,3
Filtering,Retain,up,0.8243,0.0851,0.7392,0.9094,0.0505,0.0291,3
Filtering,Forget,down,0.53,0.009,0.521,0.539,0.0053,0.0031,3
Filtering,Elicit,down,0.578,0.0117,0.5663,0.5896,0.0069,0.004,3
GRAM (ours),Core,up,0.9589,0.0422,0.9167,1.0011,0.025,0.0145,3
GRAM (ours),Retain,up,0.9652,0.024,0.9412,0.9891,0.0142,0.0082,3
GRAM (ours),Forget,down,0.5434,0.0074,0.536,0.5509,0.0044,0.0025,3
GRAM (ours),Elicit,down,0.6302,0.0206,0.6096,0.6508,0.0122,0.0071,3
Filter + LoRA,Core,up,0.9472,0.0524,0.8948,0.9996,0.0311,0.0179,3
Filter + LoRA,Retain,up,0.9793,0.0262,0.9531,1.0054,0.0155,0.009,3
Filter + LoRA,Forget,down,0.5141,0.0094,0.5047,0.5234,0.0056,0.0032,3
Filter + LoRA,Elicit,down,0.5596,0.0094,0.5502,0.5691,0.0056,0.0032,3
MaxEnt,Core,up,0.8868,0.1685,0.7183,1.0553,0.0999,0.0577,3
MaxEnt,Retain,up,1.0056,0.0631,0.9425,1.0687,0.0374,0.0216,3
MaxEnt,Forget,down,0.4585,0.1447,0.3138,0.6032,0.0858,0.0496,3
MaxEnt,Elicit,down,0.9056,0.0747,0.8308,0.9803,0.0443,0.0256,3
