method,model_size,num_params,seed,retained,data_label,label_class,loss,compute_ratio,source
filtering,200M,199891008,seed_1,core,code-lisp,elicited_forget,1.2115994691848755,0.5889715209422193,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,code-lisp,elicited_forget,1.2023329734802246,0.6088517430302296,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,code-lisp,elicited_forget,1.1951713562011719,0.6247884075645581,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,code-lisp,elicited_forget,1.2004015445709229,0.6130996245321256,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,code-lisp,forget,1.6985678672790527,0.13880988246684406,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,code-lisp,forget,1.664453148841858,0.1511939080849614,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,code-lisp,forget,1.6544487476348877,0.1550898974082444,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,code-lisp,forget,1.6642359495162964,0.1512771627919505,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,code-lisp,retain,1.060232162475586,1.0499541847181726,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,core,core,2.2137529850006104,0.874035101405182,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,core,core,2.188708782196045,0.959668246275961,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,core,core,2.1859796047210693,0.9695586292807972,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,core,core,2.1839332580566406,0.9770498840374056,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,core,core,2.1822190284729004,0.9833755806344747,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,papers-biology,elicited_forget,2.865668296813965,0.7935795134582078,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,papers-biology,elicited_forget,2.847656488418579,0.8384792177161547,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,papers-biology,elicited_forget,2.845095634460449,0.8450910965001556,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,papers-biology,elicited_forget,2.8466145992279053,0.8411622547764598,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,papers-biology,forget,2.907942771911621,0.698410480123442,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,papers-biology,forget,2.8877172470092773,0.7422437964598024,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,papers-biology,forget,2.8823349475860596,0.7544225416595548,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,papers-biology,forget,2.8874130249023438,0.742926262201278,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,papers-biology,retain,2.791796922683716,0.9968795921679201,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,papers-cyber,elicited_forget,3.104774236679077,0.799775481306194,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,papers-cyber,elicited_forget,3.0789928436279297,0.8688118496468357,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,papers-cyber,elicited_forget,3.076258897781372,0.8765112897477315,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,papers-cyber,elicited_forget,3.069444417953491,0.8960331867717207,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,papers-cyber,forget,3.1296441555023193,0.7388927758935941,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,papers-cyber,forget,3.098437547683716,0.8161622182981618,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,papers-cyber,forget,3.0936198234558105,0.8288696727454596,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,papers-cyber,forget,3.087890625,0.8442671653117647,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,papers-cyber,retain,3.0398001670837402,0.9867407269676854,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,papers-nuclear,elicited_forget,3.1847658157348633,0.7984888871495136,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,papers-nuclear,elicited_forget,3.1636719703674316,0.8565922373686985,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,papers-nuclear,elicited_forget,3.157335042953491,0.8749449211846674,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,papers-nuclear,elicited_forget,3.157942533493042,0.8731669190553115,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core,papers-nuclear,forget,3.236328125,0.6739111276662291,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,code-lisp+core,papers-nuclear,forget,3.2138454914093018,0.7253823671064518,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-biology,papers-nuclear,forget,3.203906297683716,0.7495052734978291,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-cyber,papers-nuclear,forget,3.2062935829162598,0.7436316156967586,reference/200M/seed_1/20260622033605951105/stats.jsonl
filtering,200M,199891008,seed_1,core+papers-nuclear,papers-nuclear,retain,3.117621421813965,1.0002953973499704,reference/200M/seed_1/20260622033605951105/stats.jsonl
routed,200M,199891008,seed_1,core,code-lisp,elicited_forget,1.135709524154663,0.7792448404014247,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,code-lisp,elicited_forget,1.1358071565628052,0.7789547018639503,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,code-lisp,elicited_forget,1.1354925632476807,0.7798900715271958,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-cyber,code-lisp,elicited_forget,1.1356335878372192,0.7794705961458543,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,code-lisp,forget,1.553125023841858,0.20273242100463285,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,code-lisp,forget,1.5529297590255737,0.20284088992738009,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,code-lisp,forget,1.553624153137207,0.20245548837276683,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-cyber,code-lisp,forget,1.5532985925674438,0.20263606552443697,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,code-lisp,retain,1.0497394800186157,1.096264329786496,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,core,core,2.1840507984161377,0.9766178306399673,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,core,core,2.1848578453063965,0.9736571081317219,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,core,core,2.1849477291107178,0.9733279882667186,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,core,core,2.1861841678619385,0.9688133329144766,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-cyber,core,core,2.1833722591400146,0.979114967964144,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,papers-biology,elicited_forget,2.8161022663116455,0.9241691348147678,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,papers-biology,elicited_forget,2.8157551288604736,0.9251648570948167,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,papers-biology,elicited_forget,2.817751884460449,0.9194537783480184,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-cyber,papers-biology,elicited_forget,2.818099021911621,0.9184649379394981,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,papers-biology,forget,2.8493056297302246,0.8342519889407235,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,papers-biology,forget,2.849609375,0.8334760091162589,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,papers-biology,forget,2.845789909362793,0.8432927904930767,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-cyber,papers-biology,forget,2.8486545085906982,0.8359181416549902,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,papers-biology,retain,2.7823781967163086,1.0267606613584839,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,papers-cyber,elicited_forget,3.0552518367767334,0.9382546906411553,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,papers-cyber,elicited_forget,3.0561633110046387,0.9354780008970794,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,papers-cyber,elicited_forget,3.0551648139953613,0.9385202708023203,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,papers-cyber,elicited_forget,3.0520834922790527,0.9479778013556734,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,papers-cyber,forget,3.0693576335906982,0.8962848861133863,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,papers-cyber,forget,3.070138931274414,0.894021715443508,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,papers-cyber,forget,3.0709633827209473,0.8916403961219665,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-nuclear,papers-cyber,forget,3.0727429389953613,0.8865242685640761,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-cyber,papers-cyber,retain,3.032074451446533,1.0120173764330322,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core,papers-nuclear,elicited_forget,3.134244680404663,0.9455709805974881,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,code-lisp+core,papers-nuclear,elicited_forget,3.135025978088379,0.9430812179460675,reference/200M/seed_1/20260622174855196949/stats.jsonl
routed,200M,199891008,seed_1,core+papers-biology,papers-nuclear,elicited_forget,3.133636951446533,0.9475126309647707,reference/200M/seed_1/20260622174855196949/stats.jsonl
