model_size,num_params,method,metric,direction,compute_ratio_mean,ci_90,ci_low,ci_high,std,n_seeds
50M,47995776,Filtering,Core ↑,up,0.9266,0.0548,0.8718,0.9814,0.0325,3
100M,103201984,Filtering,Core ↑,up,0.9173,0.057,0.8603,0.9743,0.0338,3
200M,199891008,Filtering,Core ↑,up,0.9125,0.0374,0.8751,0.9499,0.0222,3
400M,402064768,Filtering,Core ↑,up,0.9367,0.0323,0.9044,0.969,0.0192,3
800M,806509504,Filtering,Core ↑,up,0.9909,0.0495,0.9414,1.0405,0.0294,3
2B,2016181632,Filtering,Core ↑,up,0.969,0.0,0.969,0.969,0.0,1
5B,4967743104,Filtering,Core ↑,up,0.9773,0.0,0.9773,0.9773,0.0,1
50M,47995776,GRAM,Core ↑,up,0.9207,0.0775,0.8432,0.9981,0.046,3
100M,103201984,GRAM,Core ↑,up,0.8973,0.0698,0.8275,0.9671,0.0414,3
200M,199891008,GRAM,Core ↑,up,0.8997,0.0507,0.849,0.9504,0.0301,3
400M,402064768,GRAM,Core ↑,up,0.9133,0.0336,0.8797,0.9469,0.02,3
800M,806509504,GRAM,Core ↑,up,0.9604,0.0424,0.918,1.0029,0.0252,3
2B,2016181632,GRAM,Core ↑,up,0.943,0.0,0.943,0.943,0.0,1
5B,4967743104,GRAM,Core ↑,up,0.9568,0.0,0.9568,0.9568,0.0,1
50M,47995776,FT-LoRA,Core ↑,up,0.9071,0.0417,0.8654,0.9488,0.0247,3
100M,103201984,FT-LoRA,Core ↑,up,0.8852,0.0501,0.8351,0.9353,0.0297,3
200M,199891008,FT-LoRA,Core ↑,up,0.8798,0.0441,0.8358,0.9239,0.0261,3
400M,402064768,FT-LoRA,Core ↑,up,0.9045,0.0397,0.8648,0.9443,0.0236,3
800M,806509504,FT-LoRA,Core ↑,up,0.9482,0.0463,0.9019,0.9945,0.0275,3
2B,2016181632,FT-LoRA,Core ↑,up,0.9341,0.0,0.9341,0.9341,0.0,1
5B,4967743104,FT-LoRA,Core ↑,up,0.9422,0.0,0.9422,0.9422,0.0,1
50M,47995776,Filtering,Retain (Virology) ↑,up,0.9023,0.0689,0.8334,0.9713,0.0409,3
100M,103201984,Filtering,Retain (Virology) ↑,up,0.9146,0.0167,0.8979,0.9313,0.0099,3
200M,199891008,Filtering,Retain (Virology) ↑,up,0.9307,0.0236,0.907,0.9543,0.014,3
400M,402064768,Filtering,Retain (Virology) ↑,up,0.8853,0.0406,0.8447,0.9259,0.0241,3
800M,806509504,Filtering,Retain (Virology) ↑,up,0.907,0.0701,0.8369,0.9771,0.0416,3
2B,2016181632,Filtering,Retain (Virology) ↑,up,0.9621,0.0,0.9621,0.9621,0.0,1
5B,4967743104,Filtering,Retain (Virology) ↑,up,1.0063,0.0,1.0063,1.0063,0.0,1
50M,47995776,GRAM,Retain (Virology) ↑,up,0.9391,0.0056,0.9334,0.9447,0.0033,3
100M,103201984,GRAM,Retain (Virology) ↑,up,0.9532,0.0378,0.9153,0.991,0.0224,3
200M,199891008,GRAM,Retain (Virology) ↑,up,0.9556,0.0236,0.9321,0.9792,0.014,3
400M,402064768,GRAM,Retain (Virology) ↑,up,0.9843,0.0208,0.9635,1.0051,0.0123,3
800M,806509504,GRAM,Retain (Virology) ↑,up,0.9853,0.0264,0.9589,1.0118,0.0157,3
2B,2016181632,GRAM,Retain (Virology) ↑,up,1.0184,0.0,1.0184,1.0184,0.0,1
5B,4967743104,GRAM,Retain (Virology) ↑,up,1.5061,0.0,1.5061,1.5061,0.0,1
50M,47995776,FT-LoRA,Retain (Virology) ↑,up,0.9004,0.0522,0.8482,0.9527,0.031,3
100M,103201984,FT-LoRA,Retain (Virology) ↑,up,0.9094,0.0323,0.8771,0.9416,0.0191,3
200M,199891008,FT-LoRA,Retain (Virology) ↑,up,0.9325,0.0085,0.924,0.9411,0.0051,3
400M,402064768,FT-LoRA,Retain (Virology) ↑,up,0.9493,0.0056,0.9437,0.955,0.0033,3
800M,806509504,FT-LoRA,Retain (Virology) ↑,up,0.9514,0.0139,0.9374,0.9653,0.0083,3
2B,2016181632,FT-LoRA,Retain (Virology) ↑,up,0.9715,0.0,0.9715,0.9715,0.0,1
5B,4967743104,FT-LoRA,Retain (Virology) ↑,up,1.048,0.0,1.048,1.048,0.0,1
50M,47995776,Filtering,Forget (Non-Virology) ↓,down,0.6655,0.0385,0.627,0.7039,0.0228,3
100M,103201984,Filtering,Forget (Non-Virology) ↓,down,0.5812,0.0151,0.5661,0.5963,0.009,3
200M,199891008,Filtering,Forget (Non-Virology) ↓,down,0.5402,0.0171,0.5231,0.5573,0.0101,3
