method,model_size,num_params,seed,retained,data_label,label_class,loss,compute_ratio,source
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,a-deadline-or-time-limit,retain,1.7509765625,1.055677297113844,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,alien-encounters,elicited_forget,1.7117599248886108,0.7626006339434245,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,alien-encounters,forget,1.7590460777282715,0.6232193531977643,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,bygone-eras,elicited_forget,1.7303686141967773,0.8445975498686147,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,bygone-eras,forget,1.7319711446762085,0.8387594483928295,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,core,core,1.703861117362976,0.8658095455920776,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,cultural-traditions,elicited_forget,1.768092155456543,0.8472485590129535,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,a-deadline-or-time-limit+core,cultural-traditions,forget,1.7779605388641357,0.8121578678352349,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,a-deadline-or-time-limit,elicited_forget,1.8312499523162842,0.7474038550883563,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,a-deadline-or-time-limit,forget,1.886328101158142,0.5950586236812972,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,alien-encounters,retain,1.6254111528396606,1.1195943555508103,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,bygone-eras,elicited_forget,1.7359775304794312,0.8243639014193875,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,bygone-eras,forget,1.7379807233810425,0.8172717475483849,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,core,core,1.7054030895233154,0.8599445306889549,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,cultural-traditions,elicited_forget,1.7769325971603394,0.8157349359879159,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,alien-encounters+core,cultural-traditions,forget,1.7870066165924072,0.7814364553043742,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,a-deadline-or-time-limit,elicited_forget,1.822265625,0.7762440985694363,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,a-deadline-or-time-limit,forget,1.8771483898162842,0.6177984391086443,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,alien-encounters,elicited_forget,1.7074424028396606,0.7770095472068739,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,alien-encounters,forget,1.7551398277282715,0.6335604423326427,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,bygone-eras,retain,1.7073317766189575,0.9338476840477591,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,core,core,1.6985455751419067,0.8863793468726316,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,cultural-traditions,elicited_forget,1.7608963251113892,0.8739233907058476,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,bygone-eras+core,cultural-traditions,forget,1.7685033082962036,0.8457525949723609,stories/seed_1/20260615135522386453/stats.jsonl
coreftaux,1.25M,26257920,seed_1,core,a-deadline-or-time-limit,elicited_forget,1.834570288658142,0.7370547884368811,stories/seed_1/20260615135522386453/stats.jsonl
