condition,data_label,loss
baseline,core,1.6316739320755005
baseline,a-deadline-or-time-limit,1.7185769081115723
baseline,alien-encounters,1.607942819595337
baseline,bygone-eras,1.6520333290100098
baseline,cultural-traditions,1.6883955001831055
gram_all_on,core,1.650659441947937
gram_all_on,a-deadline-or-time-limit,1.7240792512893677
gram_all_on,alien-encounters,1.6117552518844604
gram_all_on,bygone-eras,1.6712009906768799
gram_all_on,cultural-traditions,1.7047994136810303
gram_deadline_ablated,core,1.647334337234497
gram_deadline_ablated,a-deadline-or-time-limit,1.838192105293274
gram_deadline_ablated,alien-encounters,1.6099382638931274
gram_deadline_ablated,bygone-eras,1.6686519384384155
gram_deadline_ablated,cultural-traditions,1.7036503553390503
deadline_filtered,core,1.6324659585952759
deadline_filtered,a-deadline-or-time-limit,1.813382863998413
deadline_filtered,alien-encounters,1.607262372970581
deadline_filtered,bygone-eras,1.6544784307479858
deadline_filtered,cultural-traditions,1.6922847032546997
